Tijdstempel,Nummer deelnemer,FAINTED | Herkent de opname als,FAINTED | Foutloos,FAINTED | Aantal fouten,BURN | Herkent de opname als,BURN | Foutloos,BURN | Aantal fouten,BACKACHE | Herkent de opname als,BACKACHE | Foutloos,BACKACHE | Aantal fouten,FAINTED | Herkent de opname als,FAINTED | Foutloos,FAINTED | Aantal fouten,BURN | Herkent de opname als,BURN | Foutloos,BURN | Aantal fouten,BACKACHE | Herkent de opname als,BACKACHE | Foutloos,BACKACHE | Aantal fouten,,,,,,,,,,,,,,,,,,
2019/05/27 7:50:15 p.m. EET,1,someone it and now he's not really anymore,Nee,2,help me with a boner,Nee,1,i had to bend over for a mole day and i have a little trouble with my back,Nee,1,someone fainted and now he is not breathing anymore,Ja,0,help me with a burn,Ja,0,i had to bend over all day and i have a little trouble with my back,Nee,1,4,0,0,Nee,Nee,Nee,Ja,ik heb mijn hele dag met een buggy en daardoor heb ik een beetje last van mijn rug,Nee,Nee,Nee,help me met een brandwonde,Nee,Nee,Nee,Ja,Nee,er is iemand flauwgevallen en nu ademt hij niet meer
2019/05/27 8:02:21 p.m. EET,2,announce he is not reaching anymore,Nee,4,help me with a bird,Nee,1,i had to bend over for a hole i have a little trouble with my back,Nee,4,someone fainted and now he is not breathing anymore,Ja,0,help me with a burn,Ja,0,i had to bend over i have a little,Nee,9,2,3,4,Nee,Nee,Nee,Nee,ik heb een hele dag moeten kunnen en daardoor heb ik een beetje last aan mijn rug,Nee,Nee,Nee,met een brandwond,Nee,Nee,Nee,Nee,Nee,er is iemand gevallen en nu niets meer
2019/05/27 8:17:40 p.m. EET,3,someone painted analogous,Nee,8,help me,Nee,3,i had to let over for a whole day and they have a little trouble with my bag,Nee,3,someone beaten,Nee,8,how to mirror,Nee,5,i hadn't met up for a whole day and then i have a little trouble,Nee,8,50,1,5,Nee,Nee,Nee,Nee,ik heb een hele dag werken,Nee,Nee,Nee,help me met een brandwond,Nee,Nee,Nee,Nee,Nee,er is iemand gevallen en nu
2019/05/27 8:30:45 p.m. EET,4,someone hated and it's not green anymore,Nee,5,tell me the,Nee,4,i had to bend over for a day and i have a little star war but my back,Nee,3,someone fainted then now,Nee,6,camila bernal,Nee,5,/,Nee,18,,,,Nee,Nee,,,,Nee,Nee,,,,,Nee,,Nee,
2019/05/27 8:36:49 p.m. EET,5,announce,Nee,9,hello universe,Nee,5,i had a little over,Nee,11,someone feeling a noun,Nee,8,help me with a bear,Nee,1,i had to bend over for a holiday and have a little trouble with my back,Nee,1,,,,Nee,Nee,,,,Nee,Nee,,,,,Nee,,Nee,
2019/05/27 8:44:36 p.m. EET,6,someone favorite and now it's not breathing anymore,Nee,2,tell me with a good,Nee,2,i had to bend over for a whole way and i have a little trouble with my back,Nee,1,someone fitted and now it's not breathing anymore,Nee,2,help me,Nee,3,i had to bend over for a whole day and i have a little trouble with my back,Ja,0,,,,Nee,Nee,,,,Nee,Nee,,,,,Nee,,Nee,
2019/05/28 12:35:41 p.m. EET,7,solo faded i'm still breathing anymore,Nee,7,bill,Nee,5,i have to bend over for a holiday and i have a little trouble with my back,Nee,2,someone fainted and i'm still breathing,Nee,5,help me with,Nee,2,i have to bend over for a whole day and i have a little trouble with my back,Nee,1,,,,,,,,,,,,,,,,,,
2019/05/28 12:40:46 p.m. EET,8,something good and now it's not a breathing anymore,Nee,3,help me with a burn,Ja,0,i have a little trouble with my back,Nee,10,something testimonies knokke,Nee,9,/,Nee,5,i have to bend over for all day and i have a little trouble with my mac,Nee,3,,,,,,,,,,,,,,,,,,
2019/05/28 12:56:24 p.m. EET,9,/,Nee,9,help me with a bird,Nee,1,play happy birthday,Nee,17,someone said,Nee,8,/,Nee,5,/,Nee,18,,,,,,,,,,,,,,,,,,
2019/05/28 1:00:48 p.m. EET,10,someone painters and now use not raising anymore,Nee,4,help me remember,Nee,3,i had to bend over for a robot i am a little,Nee,8,someone is not anymore,Nee,5,help me remember,Nee,3,/,Nee,18,,,,,,,,,,,,,,,,,,
